origem,id_origem,pessoa_id
app,usr_555c298b,PES-02925
crm,100001,PES-01323
loja,Loja Shopping#1,PES-03518
app,usr_0d334824,PES-04660
crm,100002,PES-01986
crm,100003,PES-00398
app,usr_1b619725,PES-01837
app,usr_8d8f806e,PES-03326
app,usr_c9b9f8f3,PES-02934
app,usr_8d88b541,PES-02684
crm,100004,PES-00389
crm,100005,PES-05658
app,usr_a7288181,PES-00966
crm,100006,PES-02778
crm,100007,PES-03683
crm,100008,PES-02164
crm,100009,PES-01602
app,usr_475af245,PES-00037
crm,100010,PES-05932
crm,100011,PES-05568
crm,100012,PES-04602
loja,Loja Centro#1,PES-01258
crm,100013,PES-00634
crm,100014,PES-00079
crm,100015,PES-02894
crm,100016,PES-05635
loja,Loja Bairro#1,PES-01819
crm,100017,PES-03670
crm,100018,PES-04364
crm,100019,PES-01785
crm,100020,PES-01888
crm,100021,PES-01551
crm,100022,PES-03957
crm,100023,PES-02792
crm,100024,PES-01549
crm,100025,PES-04217
crm,100026,PES-05721
crm,100027,PES-04097
crm,100028,PES-00613
loja,Loja Centro#2,PES-03045
app,usr_681427b3,PES-02480
app,usr_39c41a21,PES-03868
loja,Loja Shopping#2,PES-03164
crm,100029,PES-01934
crm,100030,PES-01399
crm,100031,PES-04094
app,usr_00516271,PES-00711
crm,100032,PES-01977
crm,100033,PES-03176
loja,Loja Bairro#2,PES-05329
loja,Loja Shopping#3,PES-01543
crm,100034,PES-02127
loja,Loja Shopping#4,PES-03892
app,usr_2cc1c650,PES-00688
crm,100035,PES-02238
crm,100036,PES-00870
crm,100037,PES-01535
crm,100038,PES-00109
crm,100039,PES-02157
crm,100040,PES-03217
loja,Loja Centro#3,PES-02068
crm,100041,PES-04565
crm,100042,PES-01734
crm,100043,PES-04831
crm,100044,PES-03170
loja,Loja Bairro#3,PES-02211
crm,100045,PES-00836
app,usr_eaf594fd,PES-03370
app,usr_8a17afaa,PES-02042
app,usr_2730629f,PES-05015
crm,100046,PES-00551
loja,Loja Shopping#5,PES-03326
crm,100047,PES-04657
crm,100048,PES-00843
crm,100049,PES-00104
crm,100050,PES-02198
crm,100051,PES-05000
crm,100052,PES-01916
crm,100053,PES-05233
crm,100054,PES-02497
app,usr_c03e8d88,PES-04044
crm,100055,PES-03514
crm,100056,PES-01343
app,usr_dcb5a5f2,PES-00603
